chen_sample_label,sample,assay,assay_set,treatment,rep,timept,total_raw_count
dBFA2-pH7_3-R1-Time8,dBFA2:pH7.3-R1-8,dBFA2:pH7.3-R1,dBFA2,pH7.3,R1,8,2039550
dBFA2-pH7_3-R1-Time16,dBFA2:pH7.3-R1-16,dBFA2:pH7.3-R1,dBFA2,pH7.3,R1,16,3068244
dBFA2-pH7_3-R1-Time24,dBFA2:pH7.3-R1-24,dBFA2:pH7.3-R1,dBFA2,pH7.3,R1,24,2811934
dBFA2-pH7_3-R1-Time32,dBFA2:pH7.3-R1-32,dBFA2:pH7.3-R1,dBFA2,pH7.3,R1,32,3542637
dBFA2-pH7_3-R1-Time40,dBFA2:pH7.3-R1-40,dBFA2:pH7.3-R1,dBFA2,pH7.3,R1,40,2291460
dBFA2-pH7_3-R2-Time8,dBFA2:pH7.3-R2-8,dBFA2:pH7.3-R2,dBFA2,pH7.3,R2,8,2476494
dBFA2-pH7_3-R2-Time16,dBFA2:pH7.3-R2-16,dBFA2:pH7.3-R2,dBFA2,pH7.3,R2,16,3761619
dBFA2-pH7_3-R2-Time24,dBFA2:pH7.3-R2-24,dBFA2:pH7.3-R2,dBFA2,pH7.3,R2,24,4047807
dBFA2-pH7_3-R2-Time32,dBFA2:pH7.3-R2-32,dBFA2:pH7.3-R2,dBFA2,pH7.3,R2,32,1734587
dBFA2-pH7_3-R2-Time40,dBFA2:pH7.3-R2-40,dBFA2:pH7.3-R2,dBFA2,pH7.3,R2,40,3304890
dBFA2-pH7_3-R3-Time8,dBFA2:pH7.3-R3-8,dBFA2:pH7.3-R3,dBFA2,pH7.3,R3,8,2800461
dBFA2-pH7_3-R3-Time16,dBFA2:pH7.3-R3-16,dBFA2:pH7.3-R3,dBFA2,pH7.3,R3,16,2127441
dBFA2-pH7_3-R3-Time24,dBFA2:pH7.3-R3-24,dBFA2:pH7.3-R3,dBFA2,pH7.3,R3,24,3340947
dBFA2-pH7_3-R3-Time32,dBFA2:pH7.3-R3-32,dBFA2:pH7.3-R3,dBFA2,pH7.3,R3,32,2719741
dBFA2-pH7_3-R3-Time40,dBFA2:pH7.3-R3-40,dBFA2:pH7.3-R3,dBFA2,pH7.3,R3,40,3470516
